input_name,station,type,rank,wind_speed_ms,wind_dir,date,stat_period
石見サービス,柏原,最大風速,1,20.0,南南東,1991/9/27,1978/12 2026/7
石見サービス,柏原,最大風速,2,17.0,南南東,1996/8/14,1978/12 2026/7
石見サービス,柏原,最大風速,3,15.0,北北西,2004/10/20,1978/12 2026/7
石見サービス,柏原,最大風速,4,15.0,南南東,2004/8/30,1978/12 2026/7
石見サービス,柏原,最大風速,5,15.0,南,1993/9/4,1978/12 2026/7
石見サービス,柏原,最大風速,6,14.1,南東,2018/8/24,1978/12 2026/7
石見サービス,柏原,最大風速,7,14.0,南南東,2004/9/7,1978/12 2026/7
石見サービス,柏原,最大風速,8,13.7,北,2017/10/22,1978/12 2026/7
石見サービス,柏原,最大風速,9,13.0,南南東,1992/8/8,1978/12 2026/7
石見サービス,柏原,最大風速,10,13.0,南,1981/9/4,1978/12 2026/7
